,iShares Russell 1000 Value ETF (IWD),iShares Russell 1000 Growth ETF (IWF),iShares Russell 2000 Growth ETF (IWO),iShares Russell 2000 Value ETF (IWN),iShares MSCI EAFE ETF (EFA),iShares TIPS Bond ETF (TIP),SPDR Gold Trust (GLD),Vanguard REIT ETF (VNQ)
2005-01-01,,,,,,,,
2005-01-03,47.484893798828125,40.68800735473633,59.70113754272461,48.643192291259766,36.161476135253906,69.37804412841797,43.02000045776367,29.97869110107422
2005-01-04,47.09436798095703,40.11975860595703,58.18832778930664,47.76320266723633,35.4682502746582,68.8991928100586,42.7400016784668,29.528121948242188
2005-01-05,46.797855377197266,39.85234069824219,57.17979431152344,46.8091926574707,35.44551467895508,68.82054901123047,42.66999816894531,28.546525955200195
2005-01-06,47.036521911621094,40.11975860595703,57.45893478393555,46.92909240722656,35.44551467895508,68.9320297241211,42.150001525878906,28.766443252563477
2005-01-07,46.86293411254883,40.11138153076172,56.82863235473633,46.42403793334961,35.28641891479492,68.75493621826172,41.84000015258789,28.702083587646484
2005-01-10,47.05097579956055,40.36208724975586,57.39590835571289,46.88827133178711,35.44551467895508,68.80085754394531,41.95000076293945,28.61089324951172
2005-01-11,46.75446319580078,40.08633804321289,56.747589111328125,46.46229934692383,35.377342224121094,68.866455078125,42.209999084472656,28.32123565673828
2005-01-12,46.86293411254883,40.26182556152344,56.82863235473633,46.55156326293945,35.66144561767578,69.10910034179688,42.599998474121094,28.187150955200195
2005-01-13,46.63874816894531,39.82726287841797,56.76559066772461,46.321998596191406,35.35460662841797,69.28616333007812,42.599998474121094,28.187150955200195
2005-01-14,46.91356658935547,40.05289077758789,57.45893478393555,46.82194519042969,35.52507019042969,69.29273986816406,42.31999969482422,28.53581428527832
2005-01-17,,,,,,,,
2005-01-18,47.390872955322266,40.30360412597656,58.22434616088867,47.36528778076172,35.552345275878906,69.29273986816406,42.31999969482422,28.814716339111328
2005-01-19,47.00758361816406,39.869056701660156,57.28786087036133,46.81940460205078,35.184139251708984,69.22716522216797,42.2599983215332,28.841537475585938
2005-01-20,46.73277282714844,39.635074615478516,56.80160903930664,46.48015594482422,34.95003128051758,69.25995635986328,42.25,28.750350952148438
2005-01-21,46.515804290771484,39.21723937988281,56.693546295166016,46.411285400390625,35.08868408203125,69.35834503173828,42.7400016784668,28.777175903320312
2005-01-24,46.57365798950195,39.008331298828125,55.91914367675781,46.1255989074707,35.150047302246094,69.47640991210938,42.77000045776367,28.546525955200195
2005-01-25,46.6170539855957,39.26737976074219,56.0992546081543,46.194461822509766,35.16141891479492,69.03035736083984,42.2400016784668,28.010149002075195
2005-01-26,46.703834533691406,39.4261589050293,57.215824127197266,46.69697570800781,35.58644485473633,69.11566162109375,42.689998626708984,27.924306869506836
2005-01-27,46.7400016784668,39.49299621582031,57.449954986572266,46.895938873291016,35.638710021972656,69.09603118896484,42.619998931884766,27.725852966308594
2005-01-28,46.66044235229492,39.36766815185547,57.206817626953125,46.77606201171875,35.55916213989258,69.36489868164062,42.689998626708984,27.768766403198242
2005-01-31,47.15945053100586,39.67686462402344,57.99022674560547,47.304054260253906,35.72963333129883,69.40428924560547,42.220001220703125,27.736581802368164
2005-02-01,47.57168197631836,39.84397888183594,58.39543533325195,47.584617614746094,35.95237731933594,69.28733825683594,42.099998474121094,27.940412521362305
2005-02-02,47.75971221923828,40.00276184082031,58.782630920410156,47.94175338745117,36.002384185791016,69.16909790039062,42.15999984741211,28.251514434814453
2005-02-03,47.68016815185547,39.785484313964844,58.55752182006836,47.7682991027832,35.806907653808594,69.05085754394531,41.68000030517578,28.337331771850586
2005-02-04,48.215301513671875,40.25345230102539,59.268890380859375,48.31416320800781,35.99101257324219,69.49754333496094,41.470001220703125,28.723529815673828
2005-02-07,48.11406707763672,40.19495391845703,59.38594436645508,48.242733001708984,35.76373291015625,69.72742462158203,41.27000045776367,28.62697982788086
2005-02-08,48.22978210449219,40.31194305419922,59.367942810058594,48.273338317871094,35.76373291015625,70.06903076171875,41.2599983215332,28.696718215942383
2005-02-09,47.92603302001953,39.79384994506836,57.95419692993164,47.53107833862305,35.672813415527344,70.4499740600586,41.310001373291016,28.879077911376953
2005-02-10,48.208091735839844,39.96097183227539,58.08027648925781,47.64839553833008,36.04328918457031,70.0427474975586,41.75,29.099014282226562
2005-02-11,48.46843338012695,40.25345230102539,59.05277633666992,48.273338317871094,36.293304443359375,70.07556915283203,42.08000183105469,29.184833526611328
2005-02-14,48.49736785888672,40.3203239440918,59.016761779785156,48.29120635986328,36.57514190673828,70.33833312988281,42.54999923706055,29.1901912689209
2005-02-15,48.685394287109375,40.49578857421875,59.00775146484375,48.28865432739258,36.82061767578125,69.9704818725586,42.58000183105469,29.31891632080078
2005-02-16,48.73601531982422,40.3955192565918,59.32291793823242,48.482513427734375,36.49559783935547,69.78656768798828,42.52000045776367,29.49056625366211
2005-02-17,48.43227767944336,40.11975860595703,58.55752182006836,48.05653381347656,36.570594787597656,69.70116424560547,42.72999954223633,29.4691104888916
2005-02-18,48.43227767944336,40.17824935913086,58.44047164916992,47.890724182128906,36.75242233276367,69.6288833618164,42.75,29.21163558959961
2005-02-21,,,,,,,,
2005-02-22,47.61507034301758,39.53480911254883,57.35988998413086,46.985198974609375,36.666053771972656,69.43183898925781,43.56999969482422,28.374876022338867
2005-02-23,48.10683059692383,39.693572998046875,57.639041900634766,47.2020149230957,36.68424987792969,69.58291625976562,43.41999816894531,28.267595291137695
2005-02-24,48.446746826171875,40.0445442199707,58.26034927368164,47.65094757080078,36.74106216430664,69.43183898925781,43.33000183105469,28.2890625
2005-02-25,48.96744918823242,40.31194305419922,59.17885208129883,48.553932189941406,37.16836166381836,69.39900207519531,43.5,28.696718215942383
2005-02-28,48.77218246459961,40.15319061279297,58.79166030883789,48.28609085083008,37.081993103027344,69.03775024414062,43.529998779296875,28.616252899169922
2005-03-01,48.8734245300293,40.42058563232422,59.12480926513672,48.75798797607422,37.28655242919922,69.07052612304688,43.220001220703125,28.9166316986084
2005-03-02,48.95297622680664,40.3955192565918,59.088802337646484,48.548828125,37.00699234008789,69.14939880371094,43.25,28.723529815673828
2005-03-03,48.98912811279297,40.3370246887207,59.05277633666992,48.7197151184082,37.02516555786133,69.24784088134766,42.970001220703125,28.879077911376953
2005-03-04,49.6472282409668,40.63786315917969,59.54803466796875,49.40079116821289,37.67294692993164,69.53034973144531,43.380001068115234,29.420835494995117
2005-03-07,49.63276290893555,40.79662322998047,59.43098449707031,49.32426071166992,37.51383972167969,69.72742462158203,43.470001220703125,29.560304641723633
2005-03-08,49.45921325683594,40.554290771484375,58.87267303466797,48.82176208496094,37.61613464355469,69.54347229003906,44.029998779296875,29.394018173217773
2005-03-09,48.83002471923828,40.3203239440918,58.30538558959961,48.324363708496094,37.44565963745117,69.07710266113281,44.02000045776367,28.562618255615234
2005-03-10,48.85896301269531,40.29524612426758,57.900169372558594,48.1075553894043,37.56838607788086,68.9391860961914,44.20000076293945,28.755725860595703
2005-03-11,48.66367721557617,40.01111602783203,57.78310775756836,48.038673400878906,37.559288024902344,68.64360809326172,44.43000030517578,28.43388557434082
2005-03-14,49.04698944091797,40.17824935913086,58.08027648925781,48.50292205810547,37.4388313293457,68.77496337890625,44.029998779296875,28.83081817626953
2005-03-15,48.70707702636719,39.90249252319336,57.76512145996094,48.20956802368164,37.20700454711914,68.68299102783203,44.060001373291016,28.793258666992188
2005-03-16,48.331024169921875,39.58493423461914,57.37790298461914,47.9162483215332,37.250186920166016,68.9391860961914,44.310001373291016,28.44998550415039
2005-03-17,48.52629089355469,39.576576232910156,57.34188461303711,48.01061248779297,37.20700454711914,69.1822280883789,43.81999969482422,28.750350952148438
2005-03-18,48.359954833984375,39.41780471801758,56.95469284057617,47.7682991027832,37.131996154785156,69.07710266113281,43.88999938964844,28.648435592651367
2005-03-21,48.25871658325195,39.32588195800781,56.999698638916016,47.76320266723633,36.87971115112305,68.95231628417969,43.09000015258789,28.455341339111328
2005-03-22,47.59335708618164,39.05011749267578,56.72956848144531,47.495361328125,36.456947326660156,68.49248504638672,42.650001525878906,27.94577407836914
2005-03-23,47.55720901489258,39.10860061645508,56.32435607910156,47.02092742919922,36.2137565612793,68.28225708007812,42.41999816894531,27.897497177124023
2005-03-24,47.57470703125,39.24941635131836,56.591312408447266,47.21094512939453,36.20692825317383,68.51220703125,42.38999938964844,27.953947067260742
2005-03-25,,,,,,,,
2005-03-28,47.625736236572266,39.2829475402832,56.591312408447266,47.26991271972656,36.20692825317383,68.22319793701172,42.540000915527344,27.81281852722168
2005-03-29,47.2612419128418,38.922542572021484,55.68944549560547,46.5826530456543,35.8319091796875,68.40715026855469,42.560001373291016,27.823678970336914
2005-03-30,47.91733932495117,39.53437042236328,56.52817916870117,47.24940490722656,36.1251220703125,68.68299102783203,42.61000061035156,28.192768096923828
2005-03-31,47.97564697265625,39.2829475402832,56.4379768371582,47.24940490722656,36.10919952392578,69.18878936767578,42.81999969482422,28.127649307250977
2005-04-01,47.9100456237793,38.98958969116211,56.158424377441406,47.00577926635742,36.025108337402344,69.27906036376953,42.619998931884766,28.143932342529297
2005-04-04,47.97564697265625,39.090171813964844,56.401912689208984,47.26478958129883,36.036468505859375,69.35148620605469,42.400001525878906,28.019086837768555
2005-04-05,47.9392204284668,39.44218063354492,56.591312408447266,47.364810943603516,36.22966384887695,69.16706848144531,42.45000076293945,27.953947067260742
2005-04-06,48.33287048339844,39.43380355834961,56.699520111083984,47.48276138305664,36.33194351196289,69.20658111572266,42.630001068115234,28.100505828857422
2005-04-07,48.4786491394043,39.735530853271484,57.00615310668945,47.685367584228516,36.47967529296875,68.93648529052734,42.56999969482422,28.355613708496094
2005-04-08,48.07770538330078,39.40028381347656,56.08626937866211,46.921173095703125,36.47967529296875,69.00233459472656,42.689998626708984,28.225339889526367
2005-04-11,48.12874221801758,39.39189529418945,55.779640197753906,46.71089553833008,36.616058349609375,69.18683624267578,42.779998779296875,28.252485275268555
2005-04-12,48.33287048339844,39.60144805908203,56.185462951660156,47.17246627807617,36.70697021484375,69.56229400634766,42.84000015258789,28.632448196411133
2005-04-13,47.749664306640625,39.19914245605469,55.1663818359375,46.4800910949707,36.320579528808594,69.49642181396484,42.900001525878906,28.665019989013672
